Date,Open,High,Low,Close,Adj Close,Volume
2021-07-27,0.015682,0.016257,0.014503,0.014969,0.014969,0
2021-07-28,0.015011,0.015510,0.014768,0.015207,0.015207,0
2021-07-29,0.015198,0.015425,0.014954,0.015196,0.015196,0
2021-07-30,0.015203,0.016015,0.014591,0.016009,0.016009,0
2021-07-31,0.016050,0.016366,0.015268,0.016266,0.016266,12
2021-08-01,0.016234,0.016591,0.015421,0.015626,0.015626,0
2021-08-02,0.015590,0.015763,0.012399,0.012536,0.012536,7
2021-08-03,0.012545,0.012805,0.012182,0.012585,0.012585,17
2021-08-04,0.012610,0.013182,0.012418,0.013125,0.013125,2
2021-08-05,0.013117,0.014056,0.012736,0.013896,0.013896,0
2021-08-06,0.013896,0.014712,0.013577,0.014581,0.014581,0
2021-08-07,0.014558,0.015195,0.014490,0.015191,0.015191,0
2021-08-08,0.015149,0.016039,0.014313,0.015752,0.015752,34
2021-08-09,0.015767,0.018583,0.015426,0.018515,0.018515,10
2021-08-10,0.018546,0.018655,0.016988,0.017313,0.017313,0
2021-08-11,0.017322,0.017463,0.013296,0.014154,0.014154,65
2021-08-12,0.014134,0.014331,0.012281,0.012441,0.012441,25
2021-08-13,0.012440,0.014461,0.012399,0.013393,0.013393,7
2021-08-14,0.013382,0.014911,0.012958,0.013180,0.013180,3
2021-08-15,0.013187,0.013260,0.012762,0.013185,0.013185,0
2021-08-16,0.013173,0.013439,0.012796,0.012881,0.012881,0
2021-08-17,0.012862,0.013199,0.012018,0.012068,0.012068,77
2021-08-18,0.012065,0.012181,0.001360,0.009408,0.009408,569
2021-08-19,0.009396,0.009872,0.005924,0.006539,0.006539,94
2021-08-20,0.006540,0.010279,0.006531,0.009868,0.009868,3
2021-08-21,0.009868,0.009868,0.007247,0.009296,0.009296,3
2021-08-22,0.009292,0.009785,0.007309,0.009373,0.009373,2
2021-08-23,0.009371,0.009580,0.004943,0.007430,0.007430,2
2021-08-24,0.007432,0.007456,0.004769,0.004776,0.004776,12
2021-08-25,0.004771,0.006396,0.004716,0.006365,0.006365,2
2021-08-26,0.006365,0.006640,0.004662,0.006572,0.006572,56
2021-08-27,0.006572,0.007858,0.006495,0.007849,0.007849,8
2021-08-28,0.007852,0.007885,0.006305,0.006357,0.006357,0
2021-08-29,0.006358,0.006454,0.005769,0.005860,0.005860,37
2021-08-30,0.005860,0.008281,0.005165,0.005176,0.005176,16
2021-08-31,0.005173,0.005301,0.005143,0.005193,0.005193,0
2021-09-01,0.005186,0.005402,0.005122,0.005373,0.005373,0
2021-09-02,0.005373,0.005538,0.004922,0.004934,0.004934,10
2021-09-03,0.004933,0.005098,0.004839,0.005004,0.005004,0
2021-09-04,0.005003,0.005027,0.004459,0.004994,0.004994,0
2021-09-05,0.004994,0.005187,0.004955,0.005175,0.005175,0
2021-09-06,0.005175,0.005188,0.004595,0.004737,0.004737,0
2021-09-07,0.004739,0.006608,0.003896,0.006555,0.006555,1
2021-09-08,0.006554,0.006627,0.004132,0.004148,0.004148,0
2021-09-09,0.005951,0.006144,0.004111,0.006029,0.006029,0
2021-09-10,0.006031,0.006114,0.004219,0.005833,0.005833,4
2021-09-11,0.005835,0.005976,0.005826,0.005874,0.005874,0
2021-09-12,0.005876,0.005918,0.005400,0.005532,0.005532,0
2021-09-13,0.005528,0.005592,0.004419,0.004496,0.004496,1
2021-09-14,0.004496,0.012245,0.004475,0.006590,0.006590,437
2021-09-15,0.006593,0.013082,0.006577,0.013008,0.013008,39
2021-09-16,0.013003,0.013013,0.008035,0.010033,0.010033,11
2021-09-17,0.010035,0.010114,0.007493,0.007556,0.007556,0
2021-09-18,0.007563,0.012544,0.007534,0.012544,0.012544,11
2021-09-19,0.012552,0.013461,0.010091,0.010872,0.010872,20
2021-09-20,0.010870,0.013238,0.010796,0.012006,0.012006,2
2021-09-21,0.011996,0.012043,0.005199,0.010950,0.010950,28
2021-09-22,0.010987,0.011448,0.005503,0.006102,0.006102,1
2021-09-23,0.006100,0.006292,0.005647,0.006286,0.006286,0
2021-09-24,0.006285,0.006299,0.004912,0.005569,0.005569,5
2021-09-25,0.005569,0.005590,0.005078,0.005553,0.005553,2
2021-09-26,0.005553,0.006149,0.005310,0.006053,0.006053,1
2021-09-27,0.006049,0.006204,0.005907,0.005913,0.005913,0
2021-09-28,0.005913,0.005989,0.004912,0.004917,0.004917,0
2021-09-29,0.004924,0.005105,0.004506,0.004569,0.004569,16
2021-09-30,0.004572,0.005267,0.004559,0.005253,0.005253,15
2021-10-01,0.005255,0.006258,0.004482,0.006258,0.006258,43
2021-10-02,0.006255,0.006277,0.004761,0.004773,0.004773,0
2021-10-03,0.004771,0.004913,0.004716,0.004819,0.004819,0
2021-10-04,0.004820,0.004842,0.004234,0.004420,0.004420,2
